nominal_coverage,empirical_coverage_id_calibration,empirical_coverage_id_test,median_band_width_norm_id_test,median_naive_band_width_norm_id_test,sharpness_ratio_vs_naive,case_q90_empirical_coverage_id_calibration,case_q90_empirical_coverage_id_test,case_max_empirical_coverage_id_test,qhat,qhat_naive,qhat_case_q90,qhat_case_max
0.5,0.5000006393861892,0.49778789891918135,0.11198179423809052,0.08009648323059082,1.398086279465038,0.52,0.53,0.51,0.34555938839912415,0.04004824161529541,0.35354599356651306,6.275428771972656
0.8,0.8000006393861893,0.8058103584842987,0.23823727667331696,0.2591383457183838,0.9193439744043868,0.81,0.84,0.82,0.7351652979850769,0.12956920266151428,0.9177230596542358,9.575103759765625
0.9,0.9000006393861892,0.9078142167258605,0.3467126041650772,0.46430492401123047,0.746734712976447,0.91,0.95,0.92,1.0699042081832886,0.23215246200561523,1.6250402927398682,12.93435287475586
0.95,0.9500006393861893,0.9573098985614635,0.4805312901735306,0.7766352891921997,0.6187348126729404,0.96,0.99,0.98,1.48284912109375,0.38831770420074463,2.622586488723755,17.95541763305664
